Ticker,Date,Open,High,Low,Close,Adj Close,Volume
META,5/17/16,118.82,119.010002,117.199997,117.349998,117.225624,21328600
META,5/18/16,116.800003,118.269997,116.730003,117.650002,117.525307,21642300
META,5/19/16,117.050003,117.489998,115.879997,116.809998,116.686195,20544100
META,5/20/16,116.959999,117.989998,116.949997,117.349998,117.225624,18944800
META,5/23/16,117.419998,117.599998,115.940002,115.970001,115.847084,20441000
META,5/24/16,116.239998,117.730003,116.120003,117.699997,117.575249,20183600
META,5/25/16,118.129997,118.669998,117.379997,117.889999,117.765053,20019800
META,5/26/16,118.239998,119.760002,117.919998,119.470001,119.343376,18481300
META,5/27/16,119.559998,119.849998,119.010002,119.379997,119.253471,13493600
META,5/31/16,119.459999,120.099998,118.120003,118.809998,118.684074,23547600
META,6/1/16,118.5,119.080002,117.82,118.779999,118.654106,15029500
META,6/2/16,118.690002,119.440002,118.220001,118.93,118.803947,13228300
META,6/3/16,118.980003,118.980003,117.860001,118.470001,118.344437,14135100
META,6/6/16,118.620003,119.43,118.360001,118.790001,118.664093,12744700
META,6/7/16,119.239998,119.300003,117.669998,117.760002,117.635193,17103000
META,6/8/16,117.760002,118.599998,117.269997,118.389999,118.264519,14505600
META,6/9/16,118.129997,118.68,117.709999,118.559998,118.434334,13859200
META,6/10/16,117.540001,118.110001,116.260002,116.620003,116.496399,18510800
META,6/13/16,115,115.480003,113.309998,113.949997,113.829224,31718200
META,6/14/16,114.07,114.949997,113.580002,114.940002,114.818176,17618500
META,6/15/16,115.300003,115.440002,114.07,114.599998,114.478539,19819400
META,6/16/16,113.870003,114.5,112.940002,114.389999,114.268761,19236300
META,6/17/16,114.419998,114.43,112.559998,113.019997,112.900208,24644300
META,6/20/16,113.769997,114.720001,112.75,113.370003,113.24984,20785400
META,6/21/16,114.120003,115.209999,113.970001,114.379997,114.258766,19166300
META,6/22/16,114.650002,114.739998,113.610001,113.910004,113.789268,14846300
META,6/23/16,114.370003,115.089996,113.540001,115.080002,114.958031,16176900
META,6/24/16,111.010002,113.68,111,112.080002,111.961212,40643100
META,6/27/16,111.57,111.57,108.230003,108.970001,108.854507,36130400
META,6/28/16,110.629997,112.75,110.550003,112.699997,112.580551,26813800
META,6/29/16,113.370003,114.25,113.040001,114.160004,114.039009,20968300
META,6/30/16,114.669998,115.18,113.669998,114.279999,114.158875,23192700
META,7/1/16,114.199997,115.129997,113.809998,114.190002,114.068977,14980000
META,7/5/16,113.940002,114.199997,112.970001,114.199997,114.078957,14207000
META,7/6/16,113.360001,116.790001,112.970001,116.699997,116.576309,24337600
META,7/7/16,116.629997,116.970001,115.360001,115.849998,115.727211,16630200
META,7/8/16,116.43,117.5,115.849998,117.239998,117.115738,18142600
META,7/11/16,117.709999,118.699997,117.5,117.870003,117.745071,17711600
META,7/12/16,118.629997,118.720001,117.57,117.93,117.805008,15217700
META,7/13/16,118.389999,118.400002,116.68,116.779999,116.656227,16207700
META,7/14/16,117.5,117.639999,116.699997,117.290001,117.165688,14579700
META,7/15/16,117.739998,118.279999,116.580002,116.860001,116.736145,16646000
META,7/18/16,117.32,119.610001,116.889999,119.370003,119.243484,20868400
META,7/19/16,118.989998,120.849998,118.660004,120.610001,120.48217,21541300
